ID,Processes
2610,place
2610,heat
2610,cook
2610,remove
2610,cool
2610,blend
2610,smooth
2610,stir
2611,stirring
2611,pour
2611,boil
2611,add
2611,simmer
2612,mix
2612,season
2612,preheat
2612,cover
2612,bake
2613,transfer
2613,chill
2613,roll
2614,fold
2614,pop
2614,process
2615,break
2615,spread
2615,beat
2615,cream
2615,serve
2616,whisk
2616,reduce
2616,garnish
2619,combine
2619,store
2619,drain
2619,set
2619,melt
2619,fry
2620,soak
2620,stand
2620,open
2623,rub
2623,evaporated
2624,grind
2625,flatten
2625,squeeze
2626,grease
2626,sprinkle
2627,pick
2627,press
2627,separate
2627,prepare
2628,unroll
2628,distribute
2628,broil
2630,knead
2630,arrange
2631,shape
2631,coat
2632,absorbed
2632,rinse
2632,top
2633,ladle
2633,fill
2635,chop
2637,dip
2638,marinate
2639,thicken
2643,replace
2643,seasoning
2645,trim
2648,strain
2648,dry
2649,cut
2651,toss
2652,crumble
2655,dump
2657,puree
2658,drizzle
2660,saute
2661,pat
2661,scatter
2663,refrigerate
2668,poach
2668,dice
2668,square
2668,brush
2669,rest
2673,dissolve
2674,marinade
2674,flip
2674,uncover
2677,peel
2690,taste
2691,seal
2692,scoop
2693,put
2695,divide
2697,measure
2698,spray
2701,select
2701,rise
2701,prick
2703,toast
2705,wrap
2705,baste
2709,butter
2719,wash
2724,scorching
2725,mash
2726,dredge
2734,soften
2735,thread
2736,insert
2745,zest
2745,hold
2746,sift
2747,pierce
2753,moist
2757,uncovered
2763,steam
2766,touch
2772,scrape
2776,warm
2778,roast
2778,move
2782,dust
2794,smear
2795,sear
2796,raise
2815,slice
2829,tilt
2829,stack
2834,tear
2843,push
2846,note
2850,shred
2853,decorate
2862,squash
2874,invert
2876,turn
2883,submerge
2889,crush
2889,lard
2889,wok
2889,splash
2890,reheat
2891,stir-fry
2900,drop
2911,reserve
2915,smoke
2915,wipe
2922,grate
2928,skin
2948,stream
2955,foam
2956,moisten
2957,wilt
2963,mince
2964,skim
2985,pan-fry
2990,charred
2996,overcook
2998,pull
2999,start
3000,wet
3004,dressing
3018,steep
3019,punch
3032,whip
3037,bubble
3045,clean
3052,ice
3053,sprout
3057,sizzle
3064,take
3068,stuff
3081,pressure
3134,smoking
3135,scrub
3140,throw
3155,style
3162,shake
3166,handle
3168,char
3186,devein
3205,thaw
3220,scramble
3231,blanch
3233,poke
3289,split
3351,condensed
3442,caramelized
3452,swirl
3478,mound
3494,check
3528,strip
3568,tie
3570,overmix
3586,deflate
3621,dress
3688,presentation
3703,test
3714,whirl
3745,immerse
3747,wait
3870,stretch
3932,burn
3943,unwrap
3949,sit
3989,flake
4015,splutter
4163,bubbling
4179,parboil
4252,defrost
4397,sort
4409,blot
4562,sterilize
4562,pack
4566,rising
4596,dripping
4706,evaporate
4835,unfold
5001,drip
5050,repeat
5223,glaze
5268,frost
5377,caramelize
5454,save
5526,roux
5723,foil
5732,assemble
5826,meld
5920,slit
6057,flavoring
6100,massage
6164,minced
6184,smash
6417,griddle
6511,sweeten
6530,twist
6622,freezing
6649,pre-heat
6953,crimp
7142,stew
7585,snap
7809,rotate
7858,stop
8039,carve
8080,tuck
8272,slash
8348,unmold
8435,sieve
8501,muddle
8747,slather
8820,floured
8944,deglaze
9072,scald
9482,dollop
9569,sweat
9702,curdle
11499,dash
12625,powdered
12931,braise
17302,barbecue
47297,yield
47829,mould
48120,settle
48391,crockpot
49718,blitz
