ID,Utensils
2611,pot
2612,saucepan
2612,oven
2612,dish
2613,skillet
2613,processor
2613,bowl
2613,cup
2613,tablespoon
2614,sheet
2614,pan
2619,container
2619,platter
2622,spatula
2631,plate
2634,fork
2635,knife
2656,cooker
2685,microwave
2685,jar
2699,mixer
2710,spoon
2725,masher
2727,whisk
2738,board
2796,peeler
2840,sieve
2871,skewer
3071,basket
3127,stockpot
3299,strainer
3392,blender
3518,casserole
3612,disc
3929,tray
4675,ladle
4680,mug
4887,paddle
4905,boiler
4923,cutter
5405,foil
6135,fryer
6220,scoop
6392,shaker
6617,crock
6649,ramekin
7137,kettle
8155,saucer
9227,teaspoon
10016,bottle
10649,corer
11058,saucepot
11277,blade
14842,box
15308,pestle
17583,steamer
47779,frypan
48296,grinder
48934,marzipan
48935,beater
49338,sauceboat
50427,shell
50718,crockpot
51093,saucpan
51178,processer
52359,suacepan
53289,basin
59756,frying-pan
72664,jug
